vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
,7313238958,275100038,,Nissan,Ram,Juke,1500,15995,34790.0,62870.0,5.0,,,0
,7309812609,276403932,,Mercedes-Benz,Ford,C-Class,F-150,10995,53100.0,111610.0,0.0,,,0
,7314724715,275598390,,Toyota,Nissan,Camry,Pathfinder,5100,21225.0,135000.0,45852.0,,,0
1GYFZFR42KF111524,7316277792,274838100,2019.0,Cadillac,Cadillac,Xt4,Xt4,39985,39480.0,16772.0,16772.0,0,,1
,7311186785,277960081,,Ford,Chevrolet,F-150,Silverado 1500,35788,31750.0,73859.0,27972.0,,,0
,7313035678,276437031,,Ford,Chevrolet,Flex,Equinox,12995,19500.0,103000.0,34314.0,,,0
,7316910796,269311132,,Chevrolet,Mazda,Silverado,Cx-30,14950,26995.0,145717.0,0.0,,,0
1C4GJXAN6LW237981,7316883494,269655693,2020.0,Jeep,Jeep,Wrangler,Wrangler,38974,35592.0,2239.0,10.0,0,,1
WVGBV7AX5CW609533,7316748141,277021084,2012.0,Volkswagen,Volkswagen,Tiguan S 4Motion,Tiguan,7800,7936.0,112135.0,111976.0,0,,1
,7316962664,280581754,,Ford,Ford,Flex Limited,Escape Hybrid,0,28909.0,37754.0,5.0,,,0
2C3CCAEG8JH140251,7311496252,278504774,2018.0,Chrysler,Chrysler,300 Limited,300,21650,21995.0,45224.0,45095.0,0,,1
,7313055547,260714442,,Dodge,Ram,Charger,1500,14500,33410.0,165313.0,,,,0
,7312760458,277007425,,Nissan,Honda,Frontier,Cr-V Hybrid,16969,28970.0,99821.0,4.0,,,0
,7314541627,280567634,,Mercedes-Benz,Chevrolet,Benz E400,Traverse,395,16700.0,94210.0,107628.0,,,0
,7310802487,269897067,,Mercedes-Benz,Ram,Gle 350 4Matic Ni,2500,563,59875.0,36963.0,15.0,,,0
,7306683376,279443954,,Ford,Jeep,Edge,Wrangler Unlimited,8580,17995.0,185657.0,133000.0,,,0
